Original Line,Original Title,New Document,New Section Title,Routing Method
11610,Kernel API,03_KernelRuntime.md,Kernel API,chapter
11633,Capability Interface,03_KernelRuntime.md,Capability Interface,chapter
11651,Engineering Agent Interface,03_KernelRuntime.md,Engineering Agent Interface,chapter
11670,Workflow Interface,03_KernelRuntime.md,Workflow Interface,chapter
11689,Memory Interface,03_KernelRuntime.md,Memory Interface,chapter
11709,AI Filesystem Interface,03_KernelRuntime.md,AI Filesystem Interface,chapter
11730,Repository Interface,03_KernelRuntime.md,Repository Interface,chapter
11758,Tool Interface,03_KernelRuntime.md,Tool Interface,chapter
11774,Event Interface,03_KernelRuntime.md,Event Interface,chapter
11792,Telemetry Interface,03_KernelRuntime.md,Telemetry Interface,chapter
11809,Plugin Interface,03_KernelRuntime.md,Plugin Interface,chapter
11827,SDK Interface,03_KernelRuntime.md,SDK Interface,chapter
11837,Interface Versioning,03_KernelRuntime.md,Interface Versioning,chapter
11852,Interface Principles,03_KernelRuntime.md,Interface Principles,chapter
16534,Kernel System Call Philosophy,03_KernelRuntime.md,Kernel System Call Philosophy,chapter
16546,System Call Categories,03_KernelRuntime.md,System Call Categories,chapter
16590,Process Management Calls,03_KernelRuntime.md,Process Management Calls,chapter
16624,Workflow Management Calls,03_KernelRuntime.md,Workflow Management Calls,chapter
16656,Engineering Agent Calls,03_KernelRuntime.md,Engineering Agent Calls,chapter
16686,Capability Calls,03_KernelRuntime.md,Capability Calls,chapter
16710,Memory Calls,03_KernelRuntime.md,Memory Calls,chapter
16738,Knowledge Calls,03_KernelRuntime.md,Knowledge Calls,chapter
16764,Filesystem Calls,03_KernelRuntime.md,Filesystem Calls,chapter
16788,Repository Calls,03_KernelRuntime.md,Repository Calls,chapter
16812,Provider Calls,03_KernelRuntime.md,Provider Calls,chapter
16834,Resource Calls,03_KernelRuntime.md,Resource Calls,chapter
16856,Service Calls,03_KernelRuntime.md,Service Calls,chapter
16880,Package Calls,03_KernelRuntime.md,Package Calls,chapter
16904,Session Calls,03_KernelRuntime.md,Session Calls,chapter
16926,Security Calls,03_KernelRuntime.md,Security Calls,chapter
16954,Policy Calls,03_KernelRuntime.md,Policy Calls,chapter
16976,Communication Calls,03_KernelRuntime.md,Communication Calls,chapter
17002,Telemetry Calls,03_KernelRuntime.md,Telemetry Calls,chapter
17024,Universal System Call Contract,03_KernelRuntime.md,Universal System Call Contract,chapter
17042,System Call Security,03_KernelRuntime.md,System Call Security,chapter
17057,System Call Observability,03_KernelRuntime.md,System Call Observability,chapter
17070,System Call Determinism,03_KernelRuntime.md,System Call Determinism,chapter
17078,System Call Versioning,03_KernelRuntime.md,System Call Versioning,chapter
17092,Kernel System Call Principles,03_KernelRuntime.md,Kernel System Call Principles,chapter
677,Intelligent Context Prioritization,04_ResourceManagement.md,Intelligent Context Prioritization,keyword
808,Workflow Resource Optimization,04_ResourceManagement.md,Workflow Resource Optimization,keyword
1030,Engineering Resource Model,04_ResourceManagement.md,Engineering Resource Model,keyword
1040,Supported Engineering Resources,04_ResourceManagement.md,Supported Engineering Resources,keyword
1175,Repository Analysis,04_ResourceManagement.md,Repository Analysis,keyword
1196,Workspace Analysis,04_ResourceManagement.md,Workspace Analysis,keyword
1213,Automatic Resource Discovery,04_ResourceManagement.md,Automatic Resource Discovery,keyword
1326,Large Codebase Support,04_ResourceManagement.md,Large Codebase Support,keyword
1343,Incremental Repository Analysis,04_ResourceManagement.md,Incremental Repository Analysis,keyword
1360,Cross-Repository Engineering,04_ResourceManagement.md,Cross-Repository Engineering,keyword
1377,Repository Knowledge Graph,04_ResourceManagement.md,Repository Knowledge Graph,keyword
1957,Execution Profiles,04_ResourceManagement.md,Execution Profiles,keyword
2071,Hybrid Execution Architecture,04_ResourceManagement.md,Hybrid Execution Architecture,keyword
2087,Offline Engineering Support,04_ResourceManagement.md,Offline Engineering Support,keyword
2103,Failover Management,04_ResourceManagement.md,Failover Management,keyword
2119,Retry Management,04_ResourceManagement.md,Retry Management,keyword
2136,Engineering Recovery,04_ResourceManagement.md,Engineering Recovery,override
2153,Workflow Resilience,04_ResourceManagement.md,Workflow Resilience,keyword
2309,Repository Indexing,04_ResourceManagement.md,Repository Indexing,keyword
2345,Cross-Resource Correlation,04_ResourceManagement.md,Cross-Resource Correlation,keyword
2739,Artificial Intelligence Resource Model,04_ResourceManagement.md,Artificial Intelligence Resource Model,keyword
2975,Universal Resource Management,04_ResourceManagement.md,Universal Resource Management,keyword
3473,Engineering Telemetry,04_ResourceManagement.md,Engineering Telemetry,override
3493,Observability Platform,04_ResourceManagement.md,Observability Platform,keyword
4518,Intelligence Resource Model,04_ResourceManagement.md,Intelligence Resource Model,keyword
5188,Autonomous Monitoring,04_ResourceManagement.md,Autonomous Monitoring,keyword
5206,Engineering Health Management,04_ResourceManagement.md,Engineering Health Management,keyword
5224,Engineering Analytics,04_ResourceManagement.md,Engineering Analytics,keyword
5970,Universal Repository Interface,04_ResourceManagement.md,Universal Repository Interface,keyword
6349,AI Resource Management,04_ResourceManagement.md,AI Resource Management,keyword
6361,Intelligence Resource Classification,04_ResourceManagement.md,Intelligence Resource Classification,keyword
6427,AI Resource Registry,04_ResourceManagement.md,AI Resource Registry,keyword
6450,Dynamic Resource Discovery,04_ResourceManagement.md,Dynamic Resource Discovery,keyword
6470,Resource Health Monitoring,04_ResourceManagement.md,Resource Health Monitoring,keyword
6506,Resource Allocation,04_ResourceManagement.md,Resource Allocation,keyword
6524,Resource Pooling,04_ResourceManagement.md,Resource Pooling,keyword
6593,Resource Prioritization,04_ResourceManagement.md,Resource Prioritization,keyword
6611,Resource Load Balancing,04_ResourceManagement.md,Resource Load Balancing,keyword
6627,Resource Elasticity,04_ResourceManagement.md,Resource Elasticity,keyword
6643,Resource Isolation,04_ResourceManagement.md,Resource Isolation,keyword
6659,Resource Lifecycle,04_ResourceManagement.md,Resource Lifecycle,keyword
6718,Resource Optimization,04_ResourceManagement.md,Resource Optimization,keyword
6735,Autonomous Resource Management,04_ResourceManagement.md,Autonomous Resource Management,keyword
6756,Resource Management Principles,04_ResourceManagement.md,Resource Management Principles,keyword
7131,Intelligent Resource Resolution,04_ResourceManagement.md,Intelligent Resource Resolution,keyword
7201,Unified Repository Abstraction,04_ResourceManagement.md,Unified Repository Abstraction,keyword
8478,Autonomous Workspace Monitoring,04_ResourceManagement.md,Autonomous Workspace Monitoring,keyword
8496,Repository Intelligence,04_ResourceManagement.md,Repository Intelligence,keyword
9723,Universal Observability,04_ResourceManagement.md,Universal Observability,keyword
9980,Resource Layer,04_ResourceManagement.md,Resource Layer,keyword
10002,Infrastructure Layer,04_ResourceManagement.md,Infrastructure Layer,keyword
154,Intelligent Provider Abstraction,05_ToolsAndServices.md,Intelligent Provider Abstraction,keyword
182,Multi-Provider Engineering,05_ToolsAndServices.md,Multi-Provider Engineering,keyword
787,Capability Allocation,05_ToolsAndServices.md,Capability Allocation,keyword
954,Provider Independence Guarantee,05_ToolsAndServices.md,Provider Independence Guarantee,keyword
1890,Capability Registry,05_ToolsAndServices.md,Capability Registry,keyword
1912,Provider Registry,05_ToolsAndServices.md,Provider Registry,keyword
1934,Model Registry,05_ToolsAndServices.md,Model Registry,keyword
2953,Tool Operating Environment,05_ToolsAndServices.md,Tool Operating Environment,keyword
3302,Intelligent Provider Selection,05_ToolsAndServices.md,Intelligent Provider Selection,keyword
3341,Plugin Architecture,05_ToolsAndServices.md,Plugin Architecture,keyword
3361,MCP Native Integration,05_ToolsAndServices.md,MCP Native Integration,keyword
3375,Universal Tool Abstraction,05_ToolsAndServices.md,Universal Tool Abstraction,keyword
3402,Local Development Environment Integration,05_ToolsAndServices.md,Local Development Environment Integration,keyword
3531,Universal AI Capability Model,05_ToolsAndServices.md,Universal AI Capability Model,keyword
3545,Capability Taxonomy,05_ToolsAndServices.md,Capability Taxonomy,keyword
3629,Capability Composition,05_ToolsAndServices.md,Capability Composition,keyword
3668,Dynamic Capability Discovery,05_ToolsAndServices.md,Dynamic Capability Discovery,keyword
3684,Intelligent Capability Matching,05_ToolsAndServices.md,Intelligent Capability Matching,keyword
3821,Universal Connector Architecture,05_ToolsAndServices.md,Universal Connector Architecture,keyword
3840,Engineering Plugin Ecosystem,05_ToolsAndServices.md,Engineering Plugin Ecosystem,keyword
4133,Engineering APIs,05_ToolsAndServices.md,Engineering APIs,keyword
5904,Universal Provider Interface,05_ToolsAndServices.md,Universal Provider Interface,keyword
5948,Universal Tool Interface,05_ToolsAndServices.md,Universal Tool Interface,keyword
6043,Universal Capability Interface,05_ToolsAndServices.md,Universal Capability Interface,keyword
7310,AI Native Tool Ecosystem,05_ToolsAndServices.md,AI Native Tool Ecosystem,keyword
7322,Universal Tool Model,05_ToolsAndServices.md,Universal Tool Model,keyword
7411,Native MCP Ecosystem,05_ToolsAndServices.md,Native MCP Ecosystem,keyword
7429,Universal Connector Framework,05_ToolsAndServices.md,Universal Connector Framework,keyword
7450,Connector Discovery,05_ToolsAndServices.md,Connector Discovery,keyword
7467,Connector Lifecycle,05_ToolsAndServices.md,Connector Lifecycle,keyword
7509,Tool Capability Registration,05_ToolsAndServices.md,Tool Capability Registration,keyword
7549,Intelligent Tool Selection,05_ToolsAndServices.md,Intelligent Tool Selection,keyword
7567,Tool Chaining,05_ToolsAndServices.md,Tool Chaining,keyword
7623,Autonomous Tool Orchestration,05_ToolsAndServices.md,Autonomous Tool Orchestration,keyword
7676,Engineering Capability Graph,05_ToolsAndServices.md,Engineering Capability Graph,keyword
7724,Autonomous Capability Composition,05_ToolsAndServices.md,Autonomous Capability Composition,keyword
7768,Universal AI Skill Framework,05_ToolsAndServices.md,Universal AI Skill Framework,keyword
9959,Capability Layer,05_ToolsAndServices.md,Capability Layer,keyword
10078,Service Discovery,05_ToolsAndServices.md,Service Discovery,keyword
10097,Dependency Injection,05_ToolsAndServices.md,Dependency Injection,keyword
10114,Interface Contracts,05_ToolsAndServices.md,Interface Contracts,keyword
12756,AI Service Model,05_ToolsAndServices.md,AI Service Model,chapter
12783,AI Service Lifecycle,05_ToolsAndServices.md,AI Service Lifecycle,chapter
12833,Automatic Service Discovery,05_ToolsAndServices.md,Automatic Service Discovery,chapter
12850,Service Registry,05_ToolsAndServices.md,Service Registry,chapter
12869,Service Categories,05_ToolsAndServices.md,Service Categories,chapter
12957,Service Scheduling,05_ToolsAndServices.md,Service Scheduling,chapter
12974,Service Dependencies,05_ToolsAndServices.md,Service Dependencies,chapter
12984,Service Health,05_ToolsAndServices.md,Service Health,chapter
13002,Automatic Restart,05_ToolsAndServices.md,Automatic Restart,chapter
13018,Background Execution,05_ToolsAndServices.md,Background Execution,chapter
13028,Service Isolation,05_ToolsAndServices.md,Service Isolation,chapter
13044,Service Communication,05_ToolsAndServices.md,Service Communication,chapter
13061,Service Policies,05_ToolsAndServices.md,Service Policies,chapter
13079,Autonomous Service Optimization,05_ToolsAndServices.md,Autonomous Service Optimization,chapter
13096,Service Persistence,05_ToolsAndServices.md,Service Persistence,chapter
13110,AI Native Daemons,05_ToolsAndServices.md,AI Native Daemons,chapter
13138,Service Governance,05_ToolsAndServices.md,Service Governance,chapter
13152,AI Service Principles,05_ToolsAndServices.md,AI Service Principles,chapter
13170,Workflow Definition Language (WDL),05_ToolsAndServices.md,Workflow Definition Language (WDL),chapter
4016,AI Application Runtime (AIR),06_ApplicationsSDK.md,AI Application Runtime (AIR),keyword
4034,AI Native Applications,06_ApplicationsSDK.md,AI Native Applications,keyword
4051,Universal Application Model,06_ApplicationsSDK.md,Universal Application Model,keyword
4074,AI Services,06_ApplicationsSDK.md,AI Services,override
4318,Autonomous Engineering Assistants,06_ApplicationsSDK.md,Autonomous Engineering Assistants,override
4336,AI Copilot Framework,06_ApplicationsSDK.md,AI Copilot Framework,keyword
7891,AI Software Development Kit (AI SDK),06_ApplicationsSDK.md,AI Software Development Kit (AI SDK),keyword
7903,AI Native Development Framework,06_ApplicationsSDK.md,AI Native Development Framework,override
7924,AI Native API,06_ApplicationsSDK.md,AI Native API,override
7962,AI Application Manifest,06_ApplicationsSDK.md,AI Application Manifest,keyword
7983,Application Lifecycle,06_ApplicationsSDK.md,Application Lifecycle,keyword
8050,AI Native Services,06_ApplicationsSDK.md,AI Native Services,keyword
8071,AI Application Containers,06_ApplicationsSDK.md,AI Application Containers,keyword
8088,AI Application Profiles,06_ApplicationsSDK.md,AI Application Profiles,keyword
8134,Application State Management,06_ApplicationsSDK.md,Application State Management,keyword
9877,Application Layer,06_ApplicationsSDK.md,Application Layer,keyword
827,User Configuration Philosophy,07_UserExperience.md,User Configuration Philosophy,keyword
937,User Experience Principles,07_UserExperience.md,User Experience Principles,keyword
2610,User Profiles,07_UserExperience.md,User Profiles,keyword
3918,Progressive Disclosure,07_UserExperience.md,Progressive Disclosure,keyword
3957,Engineering Transparency,07_UserExperience.md,Engineering Transparency,keyword
4300,Engineering Workspace Awareness,07_UserExperience.md,Engineering Workspace Awareness,keyword
4805,Human-in-the-Loop Engineering,07_UserExperience.md,Human-in-the-Loop Engineering,keyword
4823,Human Override,07_UserExperience.md,Human Override,keyword
8151,AI Native User Interface,07_UserExperience.md,AI Native User Interface,keyword
8170,Engineering Command Interface,07_UserExperience.md,Engineering Command Interface,keyword
8200,Intelligent Intent Interface,07_UserExperience.md,Intelligent Intent Interface,keyword
8458,AI Workspace Awareness,07_UserExperience.md,AI Workspace Awareness,keyword
8711,Engineering Experience Engine,07_UserExperience.md,Engineering Experience Engine,keyword
8892,Native User Experience Architecture,07_UserExperience.md,Native User Experience Architecture,keyword
8904,Human-Centered Design Principles,07_UserExperience.md,Human-Centered Design Principles,keyword
8941,Natural Language Operating System,07_UserExperience.md,Natural Language Operating System,keyword
8995,Intelligent Interaction Modes,07_UserExperience.md,Intelligent Interaction Modes,keyword
9015,Adaptive User Experience,07_UserExperience.md,Adaptive User Experience,keyword
9067,Intelligent Configuration,07_UserExperience.md,Intelligent Configuration,keyword
9122,AI Native Dashboard,07_UserExperience.md,AI Native Dashboard,keyword
9160,User Control,07_UserExperience.md,User Control,keyword
9180,Progressive Autonomy,07_UserExperience.md,Progressive Autonomy,keyword
9255,Continuous User Learning,07_UserExperience.md,Continuous User Learning,keyword
9291,Accessibility,07_UserExperience.md,Accessibility,keyword
9310,Universal Interaction Principles,07_UserExperience.md,Universal Interaction Principles,keyword
9328,AI Operating System Experience Vision,07_UserExperience.md,AI Operating System Experience Vision,keyword
9742,Engineering Explainability Framework,07_UserExperience.md,Engineering Explainability Framework,keyword
9854,User Experience Layer,07_UserExperience.md,User Experience Layer,keyword
732,Shared Artificial Intelligence Execution,08_IntelligenceEngine.md,Shared Artificial Intelligence Execution,keyword
1574,Self-Optimization Engine,08_IntelligenceEngine.md,Self-Optimization Engine,keyword
1735,Engineering Confidence Model,08_IntelligenceEngine.md,Engineering Confidence Model,keyword
1757,Engineering Uncertainty Management,08_IntelligenceEngine.md,Engineering Uncertainty Management,keyword
1771,Engineering Decision Engine,08_IntelligenceEngine.md,Engineering Decision Engine,keyword
1805,Engineering Consensus Orchestration,08_IntelligenceEngine.md,Engineering Consensus Orchestration,keyword
2168,Engineering Intelligence Layer,08_IntelligenceEngine.md,Engineering Intelligence Layer,keyword
2180,Engineering Project Discovery,08_IntelligenceEngine.md,Engineering Project Discovery,override
2201,Technology Discovery,08_IntelligenceEngine.md,Technology Discovery,override
2222,Dependency Intelligence,08_IntelligenceEngine.md,Dependency Intelligence,keyword
2263,Semantic Code Understanding,08_IntelligenceEngine.md,Semantic Code Understanding,override
2327,Intelligent Search,08_IntelligenceEngine.md,Intelligent Search,override
2363,Engineering Pattern Recognition,08_IntelligenceEngine.md,Engineering Pattern Recognition,keyword
2381,Engineering Anti-Pattern Detection,08_IntelligenceEngine.md,Engineering Anti-Pattern Detection,keyword
2401,Engineering Risk Discovery,08_IntelligenceEngine.md,Engineering Risk Discovery,keyword
2420,Engineering Opportunity Discovery,08_IntelligenceEngine.md,Engineering Opportunity Discovery,keyword
2438,Intelligent Engineering Recommendations,08_IntelligenceEngine.md,Intelligent Engineering Recommendations,keyword
2759,Universal Artificial Intelligence Compatibility,08_IntelligenceEngine.md,Universal Artificial Intelligence Compatibility,keyword
4188,Intent Recognition Engine,08_IntelligenceEngine.md,Intent Recognition Engine,keyword
4362,Multi-Domain Intelligence,08_IntelligenceEngine.md,Multi-Domain Intelligence,keyword
4383,Domain Specialization,08_IntelligenceEngine.md,Domain Specialization,keyword
4435,Autonomous Continuous Improvement,08_IntelligenceEngine.md,Autonomous Continuous Improvement,keyword
4506,Universal Intelligence Layer,08_IntelligenceEngine.md,Universal Intelligence Layer,keyword
4545,Hybrid Intelligence,08_IntelligenceEngine.md,Hybrid Intelligence,keyword
4581,Collective Intelligence,08_IntelligenceEngine.md,Collective Intelligence,keyword
4600,Engineering Swarm Intelligence,08_IntelligenceEngine.md,Engineering Swarm Intelligence,keyword
4625,Swarm Coordination,08_IntelligenceEngine.md,Swarm Coordination,keyword
4642,Distributed Intelligence,08_IntelligenceEngine.md,Distributed Intelligence,keyword
5243,Engineering Intelligence Dashboard,08_IntelligenceEngine.md,Engineering Intelligence Dashboard,keyword
5262,Autonomous Recommendations,08_IntelligenceEngine.md,Autonomous Recommendations,keyword
5281,Self-Healing Workflows,08_IntelligenceEngine.md,Self-Healing Workflows,keyword
5299,Engineering Optimization Engine,08_IntelligenceEngine.md,Engineering Optimization Engine,keyword
5318,Continuous Organizational Learning,08_IntelligenceEngine.md,Continuous Organizational Learning,keyword
5335,Engineering Evolution,08_IntelligenceEngine.md,Engineering Evolution,keyword
7035,Cooperative Intelligence,08_IntelligenceEngine.md,Cooperative Intelligence,keyword
7164,Intelligent Engineering Search,08_IntelligenceEngine.md,Intelligent Engineering Search,override
8437,Workspace Intelligence,08_IntelligenceEngine.md,Workspace Intelligence,keyword
8643,Organizational Intelligence,08_IntelligenceEngine.md,Organizational Intelligence,keyword
8661,Adaptive Intelligence,08_IntelligenceEngine.md,Adaptive Intelligence,keyword
8730,Engineering Intelligence Network,08_IntelligenceEngine.md,Engineering Intelligence Network,keyword
9143,Explainable Intelligence,08_IntelligenceEngine.md,Explainable Intelligence,keyword
